brand,count
Specialized,14
Shimano,10
Pivot,9
Orbea,8
Rocky Mountain,8
Fox,7
Norco,7
RockShox,6
EXT,6
Formula,6
Crankbrothers,5
Cannondale,5
DT Swiss,5
Devinci,5
Canyon,5
Transition,5
Propain,5
Trickstuff,5
SRAM,4
Cane Creek,4
Giant,4
Chromag,4
Trek,4
Industry Nine,4
Race Face,4
YT,3
Sweet Protection,3
Yeti,3
FSA,3
Forbidden,3
OneUp,3
Revel,3
Santa Cruz,3
Kona,3
Spot,3
Commencal,3
Hunt,2
Hope,2
Atherton,2
Auckland Cycle Works,2
Scott,2
e*thirteen,2
Continental,2
Lazer,2
Giro,2
Scor,2
Schwalbe,2
Knolly,2
Leatt,2
Ride Concepts,2
Push,2
Orange,2
Raaw,2
Liv,2
TRP,2
Mavic,2
WTB,2
7mesh,2
6D,2
Dakine,1
Amflow,1
POC,1
Troy Lee Designs,1
Hayes,1
Haro,1
Goodyear,1
Forge+Bond,1
Fizik,1
Five Ten,1
Fast Suspension,1
DVO,1
Canfield,1
Calibre,1
Berd,1
BMB,1
ARC8,1
Chris King,1
Endura,1
Apogee,1
1UP,1
Unno,1
Allied,1
Magped,1
Marzocchi,1
Magura,1
KS,1
Kuat,1
Intense,1
iXS,1
Maxxis,1
LoamLab,1
FlexStab,1
Last,1
Khyber,1
KOM,1
Rossignol,1
Renthal,1
Antidote,1
Northwave,1
MET,1
Salsa,1
Smith,1
Sidi,1
Spank,1
Starling,1
Swagman,1
Marin,1
Arctos,1
CounterSycle,1
Orucase,1
Enve,1
SR Suntour,1
TranzX,1
USWE,1
Turnon,1
Vessel Bike Project,1
Vittoria,1
We Are One,1
Vee Tire,1
Whyte,1
Wolf Tooth,1
WRP,1
XFusion,1
Yoshimura,1
Zerode,1
Zoceli,1
Burgtec,1
