rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_logistic__C,param_logistic__class_weight
1,0.5427525612053997,0.05692689772225559,0.8786319539652467,0.021647044243969384,1.1642378330230714,"(1, 1)",2,0.85,0.1,balanced
1,0.5427525612053997,0.05692689772225559,0.8786319539652467,0.021647044243969384,0.9619178771972656,"(1, 1)",2,0.9,0.1,balanced
1,0.5427525612053997,0.05692689772225559,0.8798305056404818,0.020328241110018817,1.022197389602661,"(1, 1)",2,0.95,0.1,balanced
4,0.5424075935287496,0.05263990851440727,0.9049747236335011,0.024193209136294733,1.445521879196167,"(1, 2)",2,0.85,0.01,balanced
5,0.5328928976982643,0.040453806794202164,0.9051916400227631,0.02770030822206939,1.7053577423095703,"(1, 2)",2,0.9,0.01,balanced
5,0.5328928976982643,0.040453806794202164,0.9024683658310849,0.025912096079572886,1.4819472789764405,"(1, 2)",2,0.95,0.01,balanced
7,0.531221946945592,0.05698436679757009,0.843276154045691,0.026621415278673153,0.930978536605835,"(1, 1)",3,0.85,0.1,balanced
7,0.531221946945592,0.05698436679757009,0.843276154045691,0.026621415278673153,1.0241190910339355,"(1, 1)",3,0.9,0.1,balanced
9,0.5308407810907421,0.048208834586497266,0.8409139535977154,0.03063578359439681,0.8539724826812745,"(1, 1)",3,0.85,0.01,balanced
9,0.5308407810907421,0.048208834586497266,0.8428585774466842,0.029393178161563466,0.8596062183380127,"(1, 1)",3,0.95,0.01,balanced
11,0.5255247455247456,0.03982150200904103,0.8570027856045466,0.02936621052985575,1.4004013061523437,"(1, 2)",3,0.85,0.01,balanced
11,0.5255247455247456,0.03982150200904103,0.8570027856045466,0.02936621052985575,1.6926381587982178,"(1, 2)",3,0.9,0.01,balanced
11,0.5255247455247456,0.03982150200904103,0.8570027856045466,0.02936621052985575,1.4106966495513915,"(1, 2)",3,0.95,0.01,balanced
14,0.5243282816390288,0.05662226007019646,0.9843214885800154,0.0047729329229611065,1.3391767501831056,"(1, 1)",2,0.85,1.0,balanced
15,0.5223486580723031,0.05067861104949517,0.8402246280155475,0.025482784844810695,1.1076992511749268,"(1, 1)",3,0.95,0.1,balanced
16,0.5216578236972582,0.036349151946986416,0.8456992437835922,0.028825813646695345,0.9723852157592774,"(1, 1)",3,0.9,0.01,balanced
17,0.5216268894639524,0.05701988042297768,0.9843214885800154,0.0047729329229611065,1.5358309268951416,"(1, 1)",2,0.9,1.0,balanced
17,0.5216268894639524,0.05701988042297768,0.9843214885800154,0.0047729329229611065,1.0827980518341065,"(1, 1)",2,0.95,1.0,balanced
19,0.5178845263729851,0.04459709185388577,0.8841670528676924,0.018765690851859557,1.5068476676940918,"(1, 2)",3,0.85,0.1,balanced
19,0.5178845263729851,0.04459709185388577,0.8853967690636191,0.017651067213280497,1.7203521728515625,"(1, 2)",3,0.9,0.1,balanced
19,0.5178845263729851,0.04459709185388577,0.8838223745999512,0.018820528068687305,1.5926805019378663,"(1, 2)",3,0.95,0.1,balanced
22,0.5176488949646844,0.07011304137851242,0.9410905063214845,0.012004587886133032,1.884103012084961,"(1, 2)",2,0.85,0.1,balanced
22,0.5176488949646844,0.07011304137851242,0.9410905063214845,0.012004587886133032,1.632548189163208,"(1, 2)",2,0.9,0.1,balanced
22,0.5176488949646844,0.07011304137851242,0.9410905063214845,0.012004587886133032,1.8730614185333252,"(1, 2)",2,0.95,0.1,balanced
25,0.5125548879698816,0.05316876289440616,0.9706804966210907,0.008634946507619153,1.2814589977264403,"(1, 1)",3,0.9,1.0,balanced
26,0.5121123044319443,0.05181241204510346,0.8666993887731191,0.031433127914295006,0.8477928161621093,"(1, 1)",2,0.85,0.01,balanced
