rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_logistic__C,param_logistic__class_weight
1,0.5427525612053997,0.05692689772225559,0.8786319539652467,0.021647044243969384,1.2327690124511719,"(1, 1)",2,0.85,0.1,balanced
1,0.5427525612053997,0.05692689772225559,0.8786319539652467,0.021647044243969384,1.080726194381714,"(1, 1)",2,0.9,0.1,balanced
1,0.5427525612053997,0.05692689772225559,0.8798305056404818,0.020328241110018817,1.0300241470336915,"(1, 1)",2,0.95,0.1,balanced
4,0.5424075935287496,0.05263990851440727,0.9049747236335011,0.024193209136294733,1.7684456825256347,"(1, 2)",2,0.85,0.01,balanced
5,0.5328928976982643,0.040453806794202164,0.9051916400227631,0.02770030822206939,1.6388304233551025,"(1, 2)",2,0.9,0.01,balanced
5,0.5328928976982643,0.040453806794202164,0.9024683658310849,0.025912096079572886,1.9621057987213135,"(1, 2)",2,0.95,0.01,balanced
7,0.531221946945592,0.05698436679757009,0.843276154045691,0.026621415278673153,1.2657902240753174,"(1, 1)",3,0.85,0.1,balanced
7,0.531221946945592,0.05698436679757009,0.843276154045691,0.026621415278673153,0.9909330844879151,"(1, 1)",3,0.9,0.1,balanced
9,0.5308407810907421,0.048208834586497266,0.8409139535977154,0.03063578359439681,0.9981571197509765,"(1, 1)",3,0.85,0.01,balanced
9,0.5308407810907421,0.048208834586497266,0.8428585774466842,0.029393178161563466,1.0718754291534425,"(1, 1)",3,0.95,0.01,balanced
11,0.5255247455247456,0.03982150200904103,0.8570027856045466,0.02936621052985575,1.6637209415435792,"(1, 2)",3,0.85,0.01,balanced
11,0.5255247455247456,0.03982150200904103,0.8570027856045466,0.02936621052985575,1.9215482711791991,"(1, 2)",3,0.9,0.01,balanced
11,0.5255247455247456,0.03982150200904103,0.8570027856045466,0.02936621052985575,1.8050272464752197,"(1, 2)",3,0.95,0.01,balanced
14,0.5243282816390288,0.05662226007019646,0.9843214885800154,0.0047729329229611065,0.8503864288330079,"(1, 1)",2,0.85,1.0,balanced
15,0.5223486580723031,0.05067861104949517,0.8402246280155475,0.025482784844810695,0.9828492164611816,"(1, 1)",3,0.95,0.1,balanced
16,0.5216578236972582,0.036349151946986416,0.8456992437835922,0.028825813646695345,1.0846073150634765,"(1, 1)",3,0.9,0.01,balanced
17,0.5216268894639524,0.05701988042297768,0.9843214885800154,0.0047729329229611065,0.9012735843658447,"(1, 1)",2,0.9,1.0,balanced
17,0.5216268894639524,0.05701988042297768,0.9843214885800154,0.0047729329229611065,0.8455452442169189,"(1, 1)",2,0.95,1.0,balanced
19,0.5178845263729851,0.04459709185388577,0.8841670528676924,0.018765690851859557,2.169223690032959,"(1, 2)",3,0.85,0.1,balanced
19,0.5178845263729851,0.04459709185388577,0.8853967690636191,0.017651067213280497,1.6363042831420898,"(1, 2)",3,0.9,0.1,balanced
19,0.5178845263729851,0.04459709185388577,0.8838223745999512,0.018820528068687305,1.6332809925079346,"(1, 2)",3,0.95,0.1,balanced
22,0.5176488949646844,0.07011304137851242,0.9410905063214845,0.012004587886133032,2.1440990447998045,"(1, 2)",2,0.85,0.1,balanced
22,0.5176488949646844,0.07011304137851242,0.9410905063214845,0.012004587886133032,1.7565800666809082,"(1, 2)",2,0.9,0.1,balanced
22,0.5176488949646844,0.07011304137851242,0.9410905063214845,0.012004587886133032,1.7554908752441407,"(1, 2)",2,0.95,0.1,balanced
25,0.5125548879698816,0.05316876289440616,0.9706804966210907,0.008634946507619153,0.8311655521392822,"(1, 1)",3,0.9,1.0,balanced
26,0.5121123044319443,0.05181241204510346,0.8666993887731191,0.031433127914295006,1.0275353908538818,"(1, 1)",2,0.85,0.01,balanced
26,0.5121123044319443,0.05181241204510346,0.8650508435328771,0.030349253655654322,0.9281901836395263,"(1, 1)",2,0.9,0.01,balanced
28,0.5032390155586555,0.04082277359440233,0.8650508435328771,0.030349253655654322,1.1288262844085692,"(1, 1)",2,0.95,0.01,balanced
29,0.5025480526998883,0.048166872002894705,0.9706804966210907,0.008634946507619153,0.9768767833709717,"(1, 1)",3,0.85,1.0,balanced
29,0.5025480526998883,0.048166872002894705,0.9706804966210907,0.008634946507619153,0.7983743190765381,"(1, 1)",3,0.95,1.0,balanced
31,0.489898878572484,0.06759725613784084,0.9722164045978532,0.01009801873531594,1.8281506538391112,"(1, 2)",3,0.85,1.0,balanced
31,0.489898878572484,0.06759725613784084,0.9722164045978532,0.01009801873531594,1.3786838054656982,"(1, 2)",3,0.9,1.0,balanced
31,0.489898878572484,0.06759725613784084,0.9722164045978532,0.01009801873531594,1.324868392944336,"(1, 2)",3,0.95,1.0,balanced
34,0.48836246083234036,0.06738940233174062,1.0,0.0,0.8116422176361084,"(1, 1)",3,0.85,10.0,balanced
34,0.48836246083234036,0.06738940233174062,1.0,0.0,0.8025658130645752,"(1, 1)",3,0.9,10.0,balanced
36,0.47495543172565907,0.08310332420958481,1.0,0.0,1.36498064994812,"(1, 2)",3,0.85,100.0,balanced
36,0.47495543172565907,0.08310332420958481,1.0,0.0,1.3685785770416259,"(1, 2)",3,0.9,100.0,balanced
36,0.47495543172565907,0.08310332420958481,1.0,0.0,1.2577401638031005,"(1, 2)",3,0.95,100.0,balanced
39,0.47194988278303757,0.07391686960751641,1.0,0.0,1.408249521255493,"(1, 2)",2,0.85,10.0,balanced
39,0.47194988278303757,0.07391686960751641,1.0,0.0,1.4598339080810547,"(1, 2)",2,0.9,10.0,balanced
41,0.47143077780695747,0.04832476677303527,1.0,0.0,0.8088152885437012,"(1, 1)",3,0.9,100.0,balanced
42,0.4706593795998474,0.06737865698015541,1.0,0.0,0.8135640144348144,"(1, 1)",3,0.95,10.0,balanced
43,0.46287277701778384,0.045379114750873195,1.0,0.0,0.8155524730682373,"(1, 1)",3,0.85,100.0,
43,0.46287277701778384,0.045379114750873195,1.0,0.0,0.9067421913146972,"(1, 1)",3,0.9,100.0,
43,0.46287277701778384,0.045379114750873195,1.0,0.0,0.8602613925933837,"(1, 1)",3,0.95,100.0,
46,0.46155950752393976,0.046058141723885566,1.0,0.0,1.3964793682098389,"(1, 2)",2,0.85,100.0,balanced
46,0.46155950752393976,0.046058141723885566,1.0,0.0,1.428260898590088,"(1, 2)",2,0.9,100.0,balanced
46,0.46155950752393976,0.046058141723885566,1.0,0.0,1.3986082077026367,"(1, 2)",2,0.95,100.0,balanced
49,0.45851779739802423,0.07115809844007208,1.0,0.0,0.8175785541534424,"(1, 1)",2,0.85,10.0,balanced
49,0.45851779739802423,0.07115809844007208,1.0,0.0,0.855262279510498,"(1, 1)",2,0.9,10.0,balanced
49,0.45851779739802423,0.07115809844007208,1.0,0.0,0.813165807723999,"(1, 1)",2,0.95,10.0,balanced
52,0.45848895823268637,0.07127129971641216,1.0,0.0,1.363191795349121,"(1, 2)",3,0.85,10.0,balanced
52,0.45848895823268637,0.07127129971641216,1.0,0.0,1.3230514526367188,"(1, 2)",3,0.9,10.0,balanced
52,0.45848895823268637,0.07127129971641216,1.0,0.0,1.3289754390716553,"(1, 2)",3,0.95,10.0,balanced
55,0.45711087817790963,0.04072709597761403,1.0,0.0,0.8054668426513671,"(1, 1)",2,0.85,100.0,balanced
55,0.45711087817790963,0.04072709597761403,1.0,0.0,0.8725795269012451,"(1, 1)",2,0.9,100.0,balanced
55,0.45711087817790963,0.04072709597761403,1.0,0.0,0.8354192733764648,"(1, 1)",2,0.95,100.0,balanced
58,0.45611655926029704,0.04951477824051227,1.0,0.0,0.8167328834533691,"(1, 1)",3,0.85,100.0,balanced
58,0.45611655926029704,0.04951477824051227,1.0,0.0,0.7968903541564941,"(1, 1)",3,0.95,100.0,balanced
60,0.4557339418612143,0.04177169101788966,1.0,0.0,1.4024149894714355,"(1, 2)",2,0.95,10.0,balanced
61,0.44613584548543894,0.06004117054497268,0.9920610303513504,0.004993200605145062,1.4453975677490234,"(1, 2)",2,0.85,1.0,balanced
61,0.44613584548543894,0.06004117054497268,0.9920610303513504,0.004993200605145062,1.468670701980591,"(1, 2)",2,0.9,1.0,balanced
61,0.44613584548543894,0.06004117054497268,0.9920610303513504,0.004993200605145062,1.4179539680480957,"(1, 2)",2,0.95,1.0,balanced
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.1109413623809814,"(1, 1)",2,0.85,0.01,
