feature,coefficient,absolute_coefficient,associated_class
shock,0.06489218934936009,0.06489218934936009,Positive
models,0.05004020502107966,0.05004020502107966,Positive
specialized,0.049103238387676294,0.049103238387676294,Positive
alloy,0.048740464672867995,0.048740464672867995,Positive
xc,0.04546525640514915,0.04546525640514915,Positive
float,0.04508098136860467,0.04508098136860467,Positive
level,0.04397590471157221,0.04397590471157221,Positive
wheels,0.04383668239492646,0.04383668239492646,Positive
travel,0.042827879781403615,0.042827879781403615,Positive
sl,0.042734362406917234,0.042734362406917234,Positive
factory,0.041937704757501075,0.041937704757501075,Positive
climbing,0.04191945739702116,0.04191945739702116,Positive
wheelset,0.04116497902615528,0.04116497902615528,Positive
fox,0.041085404899758905,0.041085404899758905,Positive
cross,0.04096035178012999,0.04096035178012999,Positive
compare,0.04031420955627471,0.04031420955627471,Positive
technical,0.04006300538844678,0.04006300538844678,Positive
drivetrain,0.039462593970352594,0.039462593970352594,Positive
carbon,0.039092890294845896,0.039092890294845896,Positive
specifications,0.03892411470854193,0.03892411470854193,Positive
